day,z_f_1,z_f_2,z_f_3,z_f_4,z_f_5,z_f_6,z_f_7,z_f_8
1000,0.004004631,0.020030757,-0.1483652,0.06436519,-0.22903143,-0.0076572895,0.046237253,-0.029137332
1020,-0.01556845,0.0380876,-0.17480713,0.12212016,-0.25157255,0.113038026,-0.06474693,0.060641292
1040,-0.018959567,0.03601663,-0.16979688,0.11257894,-0.25052598,0.094134696,-0.053753257,0.05394143
1060,-0.012837291,0.025583196,-0.14253765,0.07816373,-0.22052643,0.003948044,0.019638948,-0.006012682
1080,-0.012586806,0.03316494,-0.15794027,0.09594715,-0.22447954,0.043853234,-0.014567405,0.007480949
1100,0.014450951,0.010163682,-0.14811796,0.08321145,-0.21882263,0.01384585,0.034511343,-0.0009095594
1120,-0.0293101,0.07031164,-0.1921562,0.18744253,-0.3186974,0.12974565,-0.10093942,0.062889606
1140,0.00976564,0.025948696,-0.14895123,0.08713319,-0.2292764,0.07782711,-0.035638407,0.022134315
1160,0.0029028337,0.028461112,-0.1486786,0.08398547,-0.22942255,0.061389193,-0.027062103,0.013921682
1180,-0.0017905273,0.018701648,-0.14459157,0.066639885,-0.2242418,0.006617926,0.024699844,-0.0035268813
1200,-0.03295411,0.067077726,-0.17914858,0.17273444,-0.3174155,0.13556483,-0.099334106,0.07027485
1220,0.0022067185,0.030448131,-0.15132791,0.08828832,-0.22877008,0.062081277,-0.018438168,0.013790891
1240,0.009360071,0.04547841,-0.17489094,0.14218453,-0.24186629,0.17764378,-0.10056095,0.088453755
1260,0.02263962,0.030618042,-0.15517305,0.099497184,-0.23244652,0.13432223,-0.066251874,0.056149818
1280,-0.0023777243,0.021858342,-0.11876573,0.05976434,-0.21859306,0.00012430176,0.028691404,-0.008209884
1300,0.013783786,0.018890386,-0.14421901,0.077461295,-0.22767211,0.00059209764,0.04481992,-0.014743205
1320,-0.0034713577,0.04687396,-0.15985796,0.13177916,-0.28761634,0.07393244,-0.045640446,0.028283589
1340,-0.0032030717,0.027069533,-0.1327251,0.074046,-0.21537924,0.004354667,0.033438288,-0.010732308
1360,0.0020738803,0.041674107,-0.15489323,0.12821567,-0.2360805,0.13311648,-0.055215187,0.06120787
1380,0.008962043,0.061401233,-0.15989342,0.13404903,-0.2572598,0.18273576,-0.0895582,0.08490789
1400,0.0012219939,0.04708802,-0.13053696,0.089538686,-0.22824235,0.07421321,-0.03779377,0.010898894
1420,0.04317437,0.007646341,-0.14199366,0.06506572,-0.22533025,0.003540881,0.06813437,-0.040022276
1440,-0.012307208,0.06527793,-0.1687736,0.17964503,-0.32025602,0.11952403,-0.08526163,0.042264782
1460,0.032469098,-0.005113475,-0.14900252,0.054189153,-0.21001373,-0.021181487,0.09990977,-0.040546887
1480,-0.065139286,0.16718376,-0.17389393,0.24667509,-0.43383464,0.17626716,-0.17819846,0.06285925
1500,0.044039264,-9.390712e-05,-0.14804688,0.073893115,-0.20726243,0.03840256,0.11829425,-0.04574193
1520,0.005172573,0.034627467,-0.1394045,0.11418919,-0.2762743,0.05809104,-0.022138737,0.010920931
1540,0.014718784,0.025413109,-0.145911,0.11171477,-0.25209445,0.06380293,-0.006970577,0.016475048
1560,0.021625508,0.013382438,-0.1584411,0.08147623,-0.22969791,0.010244185,0.04766387,-0.00853676
1580,0.011129102,0.07736839,-0.17326173,0.16252343,-0.30257002,0.2194334,-0.09450345,0.114460826
1600,0.012617666,0.03694906,-0.13884395,0.091986164,-0.22105122,0.06122417,0.016122513,-0.013896726
1620,0.030031636,0.0117183495,-0.12928838,0.071069464,-0.22076352,0.012437489,0.04147713,-0.015587106
1640,0.022342093,0.011409963,-0.16965862,0.07548027,-0.24691728,0.0045127794,0.060282893,-0.012179829
1660,-0.0486679,0.11115785,-0.14676678,0.16244556,-0.35333017,0.054881044,-0.10835262,-0.003247846
1680,0.015656661,0.043188915,-0.12474606,0.10265199,-0.23361614,0.10839996,-0.021164179,0.041426472
1700,0.015837777,0.04763601,-0.1308426,0.08888565,-0.23566362,0.09741257,-0.039399214,0.029785942
1720,0.013142613,0.040811885,-0.11000353,0.07592916,-0.2307764,0.050326124,0.0041711517,-0.009688124
1740,0.023172757,0.026710898,-0.13358094,0.082547754,-0.23991391,0.026419997,0.001658354,-0.012365177
1760,0.015718397,0.036743756,-0.12375192,0.11781785,-0.26554987,0.07253289,-0.023380987,0.008927805
1780,0.032454103,0.019545244,-0.11688471,0.070286855,-0.22219056,0.028885983,0.022515342,-0.017488122
1800,0.02551502,0.043897014,-0.119440325,0.09696697,-0.23923962,0.10819317,-0.012236692,0.039919727
1820,0.043493643,0.0188339,-0.1483876,0.087125964,-0.23264176,0.04922209,0.051909648,-0.023468915
1840,-0.0007968452,0.07144588,-0.10801761,0.13531965,-0.31473196,0.12572217,-0.06856628,0.04310574
1860,0.029991705,0.03318775,-0.12317495,0.081683114,-0.23231912,0.049540136,-0.0038357526,-0.0011663139
1880,0.05100945,0.025277268,-0.12637243,0.08511652,-0.24416901,0.049083583,0.0025356747,-0.008830097
1900,0.0333196,0.054291796,-0.1291461,0.119229466,-0.26574686,0.13029477,-0.03132917,0.045373693
1920,0.056483243,-0.0160937,-0.1375282,0.06095249,-0.21125007,0.039878838,0.08860645,-0.013139378
1940,0.047281485,0.015872061,-0.117762834,0.09531571,-0.26128802,0.06779319,-0.009008504,-0.0072940066
1960,0.027314853,0.031189,-0.12870668,0.083440416,-0.2518254,0.045152403,-0.0034331977,-0.015453007
1980,0.044610653,0.020015862,-0.10808776,0.09081278,-0.25885624,0.079425044,-0.018356293,0.003245348
2000,0.030306263,0.06668659,-0.108109795,0.09947013,-0.2807076,0.16259436,-0.046840847,0.0676924
2020,0.028897837,0.025703497,-0.13086733,0.079959884,-0.23968047,0.07406664,0.01712402,0.010094911
