method,test_mae_days,test_rmse_days,test_mape,a2_predicted_progress,a2_predicted_eol_day,a2_predicted_rul_days,centroid_distance,coral_distance,mmd_distance
mmd,87.23689495909426,101.60474722837878,3.638340337418581,0.8150449991226196,2208.4670195359345,408.46701953593447,0.5951496362686157,0.0002550426288507879,0.38613224029541016
autoencoder_joint,117.06027859061842,141.65211821547217,5.521840915299442,0.8266575336456299,2177.4434112538083,377.44341125380834,0.570809006690979,0.0010594702325761318,0.43286824226379395
no_adaptation,154.2124715627117,173.97156731541432,7.294942394783838,0.9379982948303223,1918.980034314037,118.98003431403708,0.8628460168838501,0.0202602818608284,0.8747110366821289
dann,167.66427241785306,199.02120730349722,1.8825738263392797,0.05000000074505806,8000.0,6200.0,0.9862719774246216,0.02907661348581314,1.0137536525726318
coral,200.0361478780648,213.44900390388307,7.476168955973367,0.9972900152206421,1804.8912277556144,4.891227755614409,0.805133044719696,0.004449604079127312,0.823314905166626
